id_ip,id_institution,id_institution_subnet
42,0,0
52,0,0
275,0,0
1026,0,0
1128,0,0
1262,0,0
1363,0,0
1580,0,0
1658,0,0
1661,0,0
1890,0,0
1920,0,0
1956,0,0
2282,0,0
2293,0,0
2379,0,0
2523,0,0
2763,0,0
2785,0,0
2914,0,0
3150,0,0
3171,0,0
3480,0,0
3551,0,0
3554,0,0
3767,0,0
3788,0,0
4262,0,0
4273,0,0
5082,0,0
5177,0,0
5197,0,0
5213,0,0
5264,0,0
5836,0,0
5904,0,0
6482,0,0
6686,0,0
6809,0,0
6844,0,0
7173,0,0
7356,0,0
9240,0,0
9414,0,0
9782,0,0
9865,0,0
10237,0,0
10676,0,0
11751,0,0
11895,0,0
12734,0,0
12751,0,0
12862,0,0
13129,0,0
13833,0,0
13907,0,0
13913,0,0
14360,0,0
14389,0,0
14726,0,0
14956,0,0
15302,0,0
15457,0,0
15477,0,0
15815,0,0
15843,0,0
15858,0,0
15915,0,0
16081,0,0
17282,0,0
17434,0,0
17844,0,0
17851,0,0
17884,0,0
17977,0,0
18214,0,0
18639,0,0
18644,0,0
19430,0,0
19529,0,0
20140,0,0
20299,0,0
21039,0,0
21653,0,0
21787,0,0
21886,0,0
22299,0,0
22346,0,0
22539,0,0
23445,0,0
24205,0,0
24457,0,0
24646,0,0
25923,0,0
26544,0,0
26658,0,0
26692,0,0
26768,0,0
26932,0,0
27522,0,0
27591,0,0
27778,0,0
27814,0,0
27818,0,0
27828,0,0
27834,0,0
28196,0,0
28681,0,0
29094,0,0
29842,0,0
29856,0,0
30113,0,0
30621,0,0
30819,0,0
32281,0,0
32684,0,0
33469,0,0
33497,0,0
33615,0,0
34394,0,0
34958,0,0
36035,0,0
36121,0,0
36180,0,0
36231,0,0
36284,0,0
36308,0,0
36719,0,0
36744,0,0
36955,0,0
37611,0,0
37627,0,0
38076,0,0
38211,0,0
38290,0,0
39736,0,0
40265,0,0
40375,0,0
40418,0,0
40663,0,0
41562,0,0
41618,0,0
41672,0,0
41773,0,0
42096,0,0
42708,0,0
43101,0,0
44004,0,0
44393,0,0
44414,0,0
45110,0,0
45727,0,0
46254,0,0
46258,0,0
46590,0,0
47526,0,0
47680,0,0
48128,0,0
48540,0,0
48905,0,0
49835,0,0
50603,0,0
51108,0,0
51327,0,0
51584,0,0
52356,0,0
53013,0,0
53246,0,0
53673,0,0
53694,0,0
53714,0,0
53771,0,0
53835,0,0
54059,0,0
54085,0,0
54466,0,0
55529,0,0
56396,0,0
56842,0,0
57544,0,0
59334,0,0
59398,0,0
59602,0,0
59955,0,0
60808,0,0
61147,0,0
61477,0,0
63516,0,0
63816,0,0
64056,0,0
64252,0,0
64253,0,0
64309,0,0
64325,0,0
64394,0,0
65090,0,0
65183,0,0
65934,0,0
66102,0,0
66228,0,0
67316,0,0
67317,0,0
67360,0,0
69106,0,0
72449,0,0
73650,0,0
73963,0,0
74279,0,0
74336,0,0
74833,0,0
76088,0,0
76102,0,0
76936,0,0
78175,0,0
78460,0,0
79158,0,0
79521,0,0
80337,0,0
80546,0,0
81222,0,0
82323,0,0
82519,0,0
82881,0,0
83025,0,0
83462,0,0
83583,0,0
83982,0,0
84226,0,0
84286,0,0
85056,0,0
85510,0,0
85676,0,0
86478,0,0
87342,0,0
87350,0,0
88037,0,0
88803,0,0
90373,0,0
91698,0,0
92422,0,0
92436,0,0
93804,0,0
93807,0,0
94249,0,0
95923,0,0
96292,0,0
96391,0,0
96735,0,0
97176,0,0
97687,0,0
98150,0,0
98267,0,0
98541,0,0
98722,0,0
98884,0,0
99389,0,0
99625,0,0
100230,0,0
100258,0,0
100371,0,0
100417,0,0
100483,0,0
101097,0,0
101300,0,0
101307,0,0
101791,0,0
102225,0,0
102368,0,0
103906,0,0
104072,0,0
106212,0,0
108579,0,0
108645,0,0
110093,0,0
110467,0,0
112380,0,0
112587,0,0
113009,0,0
114243,0,0
115339,0,0
115908,0,0
116961,0,0
117152,0,0
117303,0,0
117901,0,0
117985,0,0
119358,0,0
119492,0,0
120729,0,0
120842,0,0
120847,0,0
121315,0,0
121342,0,0
122073,0,0
122648,0,0
122733,0,0
123646,0,0
123973,0,0
